ip_from,ip_to,country_code,country,region,city,latitude,longitude,zip_code,time_zone,isp,domain,net_speed,idd_code,area_code,weather_station_code,weather_station_name,mcc,mnc,mobile_brand,elevation,ip_from_inet,ip_to_inet,ip_count,cidr,insert_ts
17396992,17397247,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.117.0,1.9.117.255,256,{1.9.117.0/24},2023-01-19
17397248,17397503,MY,Malaysia,Johor,Johor Bahru,1.465653,103.75772,80644,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,07,MYXX0004,Johor Bahru,-,-,-,23,1.9.118.0,1.9.118.255,256,{1.9.118.0/24},2023-02-02
17397504,17397759,MY,Malaysia,Perak,Taiping,4.85,100.73333,34000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,05,MYXX0003,Ipoh,-,-,-,18,1.9.119.0,1.9.119.255,256,{1.9.119.0/24},2023-01-24
17397760,17398015,MY,Malaysia,Sabah,Kota Kinabalu,5.9749,116.0724,88000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,088,MYXX0028,Kota Kinabalu,-,-,-,4,1.9.120.0,1.9.120.255,256,{1.9.120.0/24},2023-02-23
17398016,17398271,MY,Malaysia,Kelantan,Peringat,6.03333,102.28333,16450,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,09,MYXX0023,Kota Bharu,-,-,-,7,1.9.121.0,1.9.121.255,256,{1.9.121.0/24},2023-01-09
17398272,17398527,MY,Malaysia,Sarawak,Kuching,1.550255,110.333305,93748,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,082,MYXX0011,Kuching,-,-,-,4,1.9.122.0,1.9.122.255,256,{1.9.122.0/24},2023-02-23
17398528,17398783,MY,Malaysia,Selangor,Sabak Bernam,3.7698,100.9879,45200,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0021,Teluk Intan,-,-,-,4,1.9.123.0,1.9.123.255,256,{1.9.123.0/24},2023-02-05
17398784,17399039,MY,Malaysia,Selangor,Shah Alam,3.084974,101.5328,40170,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0006,Klang,-,-,-,49,1.9.124.0,1.9.124.255,256,{1.9.124.0/24},2023-01-02
17399040,17399295,MY,Malaysia,Negeri Sembilan,Kuala Pilah,2.7389,102.2487,72000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,06,MYXX0017,Seremban,-,-,-,93,1.9.125.0,1.9.125.255,256,{1.9.125.0/24},2023-01-03
17399296,17399551,MY,Malaysia,Selangor,Shah Alam,3.084974,101.5328,40170,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0006,Klang,-,-,-,49,1.9.126.0,1.9.126.255,256,{1.9.126.0/24},2023-02-07
17399552,17399807,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.127.0,1.9.127.255,256,{1.9.127.0/24},2023-01-15
17399808,17400063,MY,Malaysia,Pulau Pinang,Nibong Tebal,5.16586,100.47793,14300,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0022,Penang/Bayan Lepas,502,153,unifi,3,1.9.128.0,1.9.128.255,256,{1.9.128.0/24},2023-01-24
17400064,17400319,MY,Malaysia,Negeri Sembilan,Port Dickson,2.5228,101.7959,71000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,06,MYXX0031,Sepang,502,153,unifi,2,1.9.129.0,1.9.129.255,256,{1.9.129.0/24},2023-02-24
17400320,17400575,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.130.0,1.9.130.255,256,{1.9.130.0/24},2023-01-05
17400576,17400831,MY,Malaysia,Sarawak,Bintulu,3.16667,113.03333,97000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,086,MYXX0025,Bintulu,502,153,unifi,6,1.9.131.0,1.9.131.255,256,{1.9.131.0/24},2023-01-01
17400832,17401087,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.132.0,1.9.132.255,256,{1.9.132.0/24},2023-02-14
17401088,17401215,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Jabatan Ketua Menteri,melaka.gov.my,COMP,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.133.0,1.9.133.127,128,{1.9.133.0/25},2023-02-09
17401216,17401343,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.133.128,1.9.133.255,128,{1.9.133.128/25},2023-01-21
17401344,17401599,MY,Malaysia,Negeri Sembilan,Port Dickson,2.5228,101.7959,71000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,06,MYXX0031,Sepang,502,153,unifi,2,1.9.134.0,1.9.134.255,256,{1.9.134.0/24},2023-02-23
17401600,17401855,MY,Malaysia,Negeri Sembilan,Seremban,2.72963,101.938126,70100,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,06,MYXX0017,Seremban,502,153,unifi,57,1.9.135.0,1.9.135.255,256,{1.9.135.0/24},2023-02-11
17401856,17402111,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.136.0,1.9.136.255,256,{1.9.136.0/24},2023-02-20
17402112,17402367,MY,Malaysia,Johor,Bandar Penawar,1.5513,104.226,81700,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,07,SNXX0003,Changi,502,153,unifi,16,1.9.137.0,1.9.137.255,256,{1.9.137.0/24},2023-01-05
17402368,17402879,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.138.0,1.9.139.255,512,{1.9.138.0/23},2023-01-09
